Year,Alfalfa,Barley,Beef,Cotton,Eggs,Maize,Milk,Pigmeat,Poultry,Rice,Sheepmeat,Sorghum,Soybeans,Sugar,Wheat,Wool
1986,0.0,504.184694794259,-105.750424678538,0.0,-29.8712760887785,0.0,6121.47482950487,-86.5702291235398,316.080638019356,9749.71276312034,5.05942121019686,0.0,0.0,1007.6653404,582.85420989386,1.12337839063776
1987,0.0,485.75880019066,3.61317943427414,0.0,206.32838377449,0.0,6073.02229697173,-92.5276624800781,1544.52025282161,12826.0620209608,4.71514106867459,0.0,0.0,1194.58296,1385.96561127558,1.14122879433911
1988,0.0,63.0320937200014,-30.6939829052258,0.0,230.591893888999,0.0,6017.75376927261,-17.5960936264597,315.790341975755,9273.53186593356,5.01451510478091,0.0,0.0,888.7098,677.056152090065,1.1902286129003
1989,0.0,50.6937127697533,-14.0128156688715,0.0,23.3490534466793,0.0,13915.9183960324,-9.4728230431324,16.1173850685493,15823.9391867859,4.4071486891046,0.0,0.0,699.42384,309.336902910229,0.53200580604191
1990,0.0,259.34436426607,-109.481709341566,0.0,64.3454574943575,0.0,7489.49730777533,-60.8795049317854,113.064420265913,11042.6731128775,4.61036015603738,0.0,0.0,706.3274,1168.54717697273,0.52205796969972
1991,0.0,366.617810014397,-120.45148313989,85.6564304088475,125.927160703489,0.0,7249.21160985023,-76.1054003221555,173.883448465396,12407.6372741794,4.61036015603738,0.0,0.0,940.40688,1606.775928531,0.52033021863377
1992,0.0,256.682868090757,-67.6475014934268,296.775034474079,178.587369239761,0.0,7390.37917655033,-44.1077226071018,113.734342859634,12457.2177941409,4.4198494057879,0.0,0.0,957.77516,1364.82472616688,0.49204345459494
1993,0.0,371.025062974309,-128.764297944475,438.761909110087,457.40405829644,0.0,6873.60129154068,378.294167131003,14.3535490857192,13544.0321268514,4.17853578880522,0.0,0.0,931.68148,1659.717994439,0.46015376939127
1994,0.0,312.743276176189,-119.26013858001,164.689953420234,397.587679251735,0.0,6500.12187249741,402.271704433513,107.535050986683,11463.8186088974,3.86101787172276,0.0,0.0,754.76348,1271.36701139885,0.40674090537966
1995,0.0,25.6109074687263,-7.80985739600068,84.4593351440388,352.204077927749,0.0,4782.65465147067,-5.16273947718606,140.864820561327,7022.01055806569,3.56890138800689,0.0,0.0,749.66472,172.454515783237,0.37621337204028
1996,0.0,0.01095226534683,-0.00157460460988,8.51320474115331,47.1428266423528,0.0,9042.3780347887,-0.00181685147294,54.0360965424325,10488.9601658671,3.35298920439082,0.0,0.0,735.09956,0.0,0.33552571895128
1997,0.0,0.0,0.0,423.03949160661,0.0,0.0,8673.28415799972,0.0,0.0,10829.2476787874,3.26408418760773,0.0,0.0,725.0304,0.0,0.31724575886782
1998,0.0,13.4641603934667,-1.69006997342202,394.018606795019,-0.5200215302837,0.0,12941.4605323733,-1.95008073856387,0.55811457764531,15866.5795360451,3.14977773745804,0.0,0.0,1003.41696,0.0,0.29188968520367
1999,0.0,0.0,0.0,498.767012691785,0.0,0.0,12310.0329046975,0.0,7.65557883733383,16194.2929045925,31.38678,0.0,0.0,1422.005,0.0,0.27478907738365
2000,0.0,0.0,0.0,247.892813515633,0.0,0.0,10300.1894158034,0.0,9.4869955079692,12833.8890651531,21.67386,0.0,0.0,975.3988,0.0,0.27007166832986
2001,0.0,0.0,0.0,201.856644533586,0.0,0.0,10907.6788846027,0.0,34.2295170308483,13543.5017344021,9.09558,0.0,0.0,1087.85496,0.0,0.25002267985122
2002,0.0,0.0,0.0,405.914027324444,0.0,0.0,8229.13499746191,0.0,0.0,11022.2732554039,0.0,0.0,0.0,1034.65152,0.0,0.24353624240225
2003,0.0,0.0,0.0,280.738366406786,0.0,0.0,5429.83890799898,0.0,0.0,8254.49560752553,0.0,0.0,0.0,1329.70668,0.0,0.22584595845051
2004,0.0,0.0,0.0,469.837900398352,0.0,0.0,7390.80315607524,0.0,0.0,10177.1928065856,0.0,0.0,0.0,1039.0572,0.0,0.22407693005534
2005,0.0,0.0,0.0,372.621331874884,0.0,0.0,5095.06463385538,0.0,0.0,7319.74063486174,0.0,0.0,0.0,756.37332,0.0,0.22053887326499
2006,0.0,0.0,0.0,16.3839059275732,0.0,0.0,2900.32374934205,0.0,0.0,3837.30228521581,0.0,0.0,0.0,478.44709723,0.0,0.2134627596843
2007,0.0,0.0,0.0,0.0,0.0,0.0,8518.43062720286,0.0,0.0,9986.52689344121,0.0,0.0,0.0,801.32994032,0.0,0.20461761770843
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.82492013575,0.0,0.0,0.0,733.13925525,0.0,0.19459312346911
2009,0.0,0.0,0.0,0.0,0.0,0.0,2366.7252791441,0.0,0.0,3229.29657948168,0.0,0.0,0.0,499.35917625,0.0,0.18220992470289
2010,0.0,0.0,0.0,0.0,0.0,0.0,4399.37593076772,0.0,0.0,6288.4887093641,0.0,0.0,0.0,1210.68145296,0.0,0.17926154404427
2011,0.0,0.0,0.0,0.0,0.0,0.0,2636.49500721194,0.0,0.0,3939.60741812871,0.0,0.0,0.0,857.3260224,0.0,0.1727751065953
2012,0.0,0.0,0.0,0.0,0.0,0.0,4721.27718668146,0.0,0.0,5754.26035855279,0.0,0.0,0.0,617.10735924,0.0,0.16275061235598
2013,0.0,0.0,0.0,0.0,0.0,0.0,2011.38117429816,0.0,0.0,2322.40301665234,0.0,0.0,0.0,157.15539,0.0,0.15921255556564
2014,0.0,0.0,0.0,0.0,0.0,0.0,6634.58741326091,0.0,0.0,7874.71128929765,0.0,0.0,0.0,643.75993056,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,5401.51427619069,0.0,0.0,7338.79550413498,0.0,0.0,0.0,1044.42215427,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,5035.29881360104,0.0,0.0,6668.15828428004,0.0,0.0,0.0,879.34488,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,2084.46606729376,0.0,0.0,4039.89850922487,0.0,0.0,0.0,1147.32235539818,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2094.25200689157,0.0,0.0,0.0,1309.7845568,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2081.79542173093,0.0,0.0,0.0,1257.4044,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.46494528616,0.0,0.0,0.0,1278.6312,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2218.95565725252,0.0,0.0,0.0,1570.9176,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2437.52846866304,0.0,0.0,0.0,1714.39644,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2479.44241979411,0.0,0.0,0.0,1662.16044,0.0,0.0
